"Zeitstempel","Mentale Anstrengung: Wie hoch war der benötigte Anteil an mentaler Aktivität? (Denken, Entscheiden, Rechnen, Erinnern, Schauen, Suchen usw.)","Physische Anstrengung: Wie hoch war der benötigte Anteil an physischer Aktivität? (Drücken, Ziehen, Drehen, Kontrollieren, Aktivieren usw.)","Zeitliche Anstrengung: Wie hoch empfanden Sie den Zeitdruck der zur Ausübung des Tasks vorhanden war?","Bemühung: Wie hart mussten Sie mental und physisch arbeiten um den Task zu meistern?","Leistung: Wie zufrieden sind Sie mit ihrem Ergebnis?","Frustrationslevel: Wie unsicher, irritiert, gestresst und verärgert fühlen Sie sich bei der Bewältigung des Tasks? "
"2017/11/15 2:31:18 nachm. MEZ","10","10","12","13","4","14"
"2017/11/15 3:09:41 nachm. MEZ","14","3","6","6","10","13"
"2017/11/15 3:38:40 nachm. MEZ","13","7","10","10","4","4"
"2017/11/15 5:03:26 nachm. MEZ","5","1","1","3","7","5"
"2017/11/15 5:55:36 nachm. MEZ","5","1","1","2","13","1"
"2017/11/17 11:46:32 vorm. MEZ","13","3","6","10","14","7"
"2017/11/17 1:32:29 nachm. MEZ","1","1","1","7","13","1"
"2017/11/21 10:22:34 vorm. MEZ","4","3","2","2","3","4"
"2017/11/21 12:52:33 nachm. MEZ","1","2","5","2","11","3"
"2017/11/21 1:58:24 nachm. MEZ","4","3","4","5","10","5"
"2017/11/21 3:08:13 nachm. MEZ","8","7","5","8","13","10"
"2017/11/23 10:40:48 vorm. MEZ","7","9","3","6","5","4"
"2017/11/23 1:58:24 nachm. MEZ","16","16","6","18","2","15"
"2017/11/23 3:59:54 nachm. MEZ","10","6","1","12","5","4"
"2017/11/24 11:04:57 vorm. MEZ","10","2","1","7","10","1"
"2017/11/24 12:50:26 nachm. MEZ","4","8","1","6","3","11"
"2017/11/24 2:18:21 nachm. MEZ","4","3","3","7","3","3"
